Table 8,,,,,,,,,,,
NEW JERSEY,,,,,,,,,,,
Offenses Known to Law Enforcement,,,,,,,,,,,
"by City, 2019",,,,,,,,,,,
City,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson
Carlstadt,"6,170",8,0,0,2,6,73,4,61,8,0
Carney's Point Township,"7,664",17,0,10,3,4,104,18,80,6,1
Carteret,"23,645",32,0,5,11,16,265,40,201,24,0
Cedar Grove Township,"12,508",6,0,0,1,5,56,4,50,2,0
Chatham,"8,696",0,0,0,0,0,63,5,52,6,0
Chatham Township,"10,219",0,0,0,0,0,24,1,20,3,0
Cherry Hill Township,"70,716",59,0,0,30,29,"1,694",148,"1,497",49,1
Chesilhurst,"1,616",4,0,0,0,4,43,20,19,4,0
Chester,"1,635",0,0,0,0,0,13,1,12,0,0
Chesterfield Township,"7,474",3,0,0,0,3,6,0,6,0,0
Chester Township,"7,731",0,0,0,0,0,35,11,20,4,0
Cinnaminson Township,"16,477",16,0,2,3,11,352,28,310,14,0
Clark Township,"16,022",14,0,4,3,7,224,13,207,4,1
Clayton,"8,709",13,0,2,1,10,85,16,65,4,1
Clementon,"4,919",13,0,0,8,5,132,43,83,6,0
Cliffside Park,"26,115",18,0,1,5,12,102,8,94,0,0
Clifton,"85,021",95,0,0,50,45,"1,272",115,"1,046",111,0
Clinton,"2,679",4,0,1,0,3,12,1,11,0,0
Clinton Township,"12,801",2,0,0,0,2,33,12,18,3,0
Closter,"8,562",5,0,1,0,4,43,0,39,4,0
Collingswood,"13,850",16,1,0,6,9,393,53,322,18,3
Colts Neck Township,"9,846",4,0,1,2,1,58,9,40,9,0
Cranbury Township,"4,013",3,0,0,0,3,34,6,25,3,0
Cranford Township,"24,251",4,0,0,1,3,202,11,175,16,0
Cresskill,"8,761",2,0,1,1,0,28,6,18,4,0
Deal,719,0,0,0,0,0,28,3,13,12,0
Delanco Township,"4,463",2,0,1,0,1,53,3,46,4,0
Delaware Township,"4,419",0,0,0,0,0,7,0,6,1,0
Delran Township,"16,473",8,0,0,3,5,212,23,182,7,0
Demarest,"4,912",2,0,0,0,2,12,4,5,3,0
Denville Township,"16,590",6,0,1,0,5,65,4,57,4,0
Deptford Township,"30,258",40,0,4,18,18,"1,174",122,"1,024",28,1
Dover,"17,852",40,0,2,11,27,157,49,94,14,1
Dumont,"17,649",6,0,0,1,5,54,2,52,0,0
Dunellen,"7,244",14,0,3,2,9,122,9,105,8,0
Eastampton Township,"5,938",3,0,2,1,0,50,12,34,4,0
East Brunswick Township,"47,857",27,0,6,9,12,530,35,491,4,1
East Greenwich Township,"10,658",0,0,0,0,0,103,16,82,5,0
East Hanover Township,"10,990",3,0,0,1,2,126,10,107,9,0
East Newark,"2,661",1,0,0,1,0,24,3,18,3,0
East Orange,"64,200",275,3,26,102,144,894,151,581,162,11
East Rutherford,"9,831",4,0,0,2,2,127,9,106,12,0
East Windsor Township,"27,343",16,1,1,4,10,182,17,151,14,1
Eatontown,"12,215",34,0,7,9,18,274,18,247,9,0
Edgewater,"12,821",4,0,1,2,1,160,13,142,5,0
Edgewater Park Township,"8,644",16,1,4,3,8,132,28,88,16,0
Edison Township,"100,282",84,1,9,19,55,"1,371",138,"1,143",90,2
Egg Harbor City,"4,085",21,0,1,11,9,195,42,144,9,1
Egg Harbor Township,"42,475",52,0,0,10,42,672,91,558,23,4
Elizabeth,"128,753",926,7,50,384,485,"3,898",365,"2,776",757,1
Elk Township,"4,154",0,0,0,0,0,39,8,25,6,1
Elmer,"1,300",1,1,0,0,0,5,0,5,0,0
Elmwood Park,"20,104",25,0,0,12,13,274,37,215,22,0
Elsinboro Township,967,2,0,0,0,2,11,1,10,0,1
Emerson,"7,640",1,0,0,0,1,31,2,25,4,0
Englewood,"28,683",71,2,10,18,41,343,64,257,22,0
Englewood Cliffs,"5,368",1,0,0,0,1,48,27,12,9,0
Englishtown,"1,937",3,0,0,0,3,12,2,9,1,0
Essex Fells,"2,072",0,0,0,0,0,16,2,10,4,0
Evesham Township,"44,999",29,0,5,8,16,510,55,440,15,0
Ewing Township,"36,338",60,0,4,20,36,507,76,385,46,1
"Fairfield Township, Essex County","7,472",0,0,0,0,0,177,8,158,11,0
Fair Haven,"5,784",1,0,0,0,1,16,4,10,2,0
Fair Lawn,"33,064",7,0,0,1,6,236,32,187,17,2
Fairview,"14,285",27,1,1,11,14,152,38,104,10,0
Fanwood,"7,718",2,0,1,0,1,25,5,17,3,0
Far Hills,909,0,0,0,0,0,3,0,3,0,0
Fieldsboro,539,0,0,0,0,0,2,0,2,0,0
Flemington,"4,590",10,0,1,0,9,58,9,47,2,1
Florence Township,"12,593",17,0,7,2,8,81,25,51,5,1
Florham Park,"11,522",1,0,0,0,1,111,19,85,7,0
Fort Lee,"38,062",25,0,2,6,17,323,57,239,27,1
Franklin,"4,699",10,0,1,1,8,48,3,44,1,0
Franklin Lakes,"11,109",5,0,0,1,4,59,4,44,11,2
"Franklin Township, Gloucester County","16,264",15,0,1,2,12,169,32,123,14,0
"Franklin Township, Hunterdon County","3,560",0,0,0,0,0,8,1,7,0,0
"Franklin Township, Somerset County","66,173",58,4,10,18,26,625,76,517,32,0
Freehold Borough,"11,733",22,0,0,11,11,129,20,105,4,0
Freehold Township,"34,560",34,2,1,9,22,487,21,455,11,1
Frenchtown,"1,348",0,0,0,0,0,3,0,3,0,0
Galloway Township,"35,813",62,0,2,2,58,367,94,252,21,1
Garfield,"31,888",51,1,9,16,25,620,58,532,30,2
Garwood,"4,361",1,0,0,0,1,35,5,30,0,0
Gibbsboro,"2,212",1,0,0,0,1,23,4,17,2,0
Glassboro,"20,082",31,0,5,3,23,303,83,205,15,1
Glen Ridge,"7,574",4,0,2,0,2,108,21,82,5,0
Glen Rock,"11,803",0,0,0,0,0,60,13,43,4,0
Gloucester City,"11,168",20,2,1,3,14,281,41,230,10,3
Gloucester Township,"63,500",63,1,9,18,35,880,67,789,24,1
Green Brook Township,"7,071",1,0,0,0,1,56,8,44,4,0
"Greenwich Township, Gloucester County","4,777",2,0,1,0,1,58,6,50,2,0
"Greenwich Township, Warren County","5,447",1,0,0,1,0,126,11,110,5,0
Guttenberg,"11,289",27,0,0,13,14,71,12,53,6,0
Hackensack,"44,505",103,1,6,15,81,594,54,506,34,2
Hackettstown,"9,431",3,0,0,0,3,28,2,25,1,1
Haddonfield,"11,261",5,0,0,2,3,135,13,119,3,0
Haddon Heights,"7,515",3,0,0,1,2,54,12,39,3,0
Haddon Township,"14,489",33,0,1,19,13,288,26,250,12,0
Haledon,"8,277",31,0,0,4,27,141,25,101,15,0
Hamburg,"3,102",0,0,0,0,0,17,4,13,0,0
"Hamilton Township, Atlantic County","25,667",49,0,1,21,27,769,91,641,37,2
"Hamilton Township, Mercer County","87,027",122,1,20,47,54,"1,585",264,"1,215",106,5
Hammonton,"14,003",25,0,1,4,20,115,25,78,12,1
Hanover Township,"14,447",12,0,4,1,7,136,7,120,9,0
Harding Township,"3,805",3,0,0,0,3,20,10,9,1,0
Hardyston Township,"7,760",1,0,0,1,0,26,4,22,0,0
Harrington Park,"4,751",0,0,0,0,0,5,0,4,1,0
Harrison,"18,374",47,0,5,14,28,341,49,262,30,0
Harrison Township,"13,125",1,0,0,0,1,57,8,45,4,2
Harvey Cedars,339,0,0,0,0,0,7,2,5,0,0
Hasbrouck Heights,"12,049",3,0,0,0,3,63,3,60,0,0
Haworth,"3,420",1,0,0,0,1,8,2,3,3,0
Hawthorne,"18,699",0,0,0,0,0,139,9,116,14,0
Hazlet Township,"19,739",31,0,5,2,24,199,16,171,12,0
Helmetta,"2,173",0,0,0,0,0,10,2,7,1,0
High Bridge,"3,427",1,0,0,0,1,25,3,21,1,0
Highland Park,"13,791",14,0,5,2,7,222,33,181,8,0
Highlands,"4,739",2,0,0,0,2,9,4,5,0,1
Hightstown,"5,264",6,0,3,1,2,22,2,19,1,0
Hillsborough Township,"39,813",13,0,7,1,5,191,29,158,4,0
Hillsdale,"10,382",2,0,0,0,2,45,4,40,1,0
Hillside Township,"22,024",64,0,5,26,33,533,51,398,84,0
Hi-Nella,855,2,0,0,0,2,4,0,4,0,0
Hoboken,"53,641",79,0,2,14,63,666,73,562,31,1
Ho-Ho-Kus,"4,091",0,0,0,0,0,20,7,11,2,0
Holland Township,"5,081",2,0,1,0,1,9,4,4,1,0
Holmdel Township,"16,648",17,0,1,1,15,194,16,168,10,0
Hopatcong,"14,091",8,0,0,1,7,39,0,37,2,1
Hopewell Borough,"1,905",0,0,0,0,0,13,2,10,1,0
Hopewell Township,"17,854",7,0,1,0,6,73,14,55,4,0
Howell Township,"52,242",31,1,14,1,15,376,43,321,12,0
Independence Township,"5,420",2,0,1,0,1,5,4,0,1,0
Interlaken,789,0,0,0,0,0,3,0,3,0,0
Irvington,"54,034",280,7,17,190,66,"1,016",178,565,273,7
Island Heights,"1,675",0,0,0,0,0,7,3,4,0,0
Jackson Township,"57,380",25,0,3,5,17,391,71,298,22,3
Jamesburg,"5,931",10,2,1,2,5,19,3,15,1,1
Jefferson Township,"20,877",10,1,2,0,7,72,12,54,6,0
Jersey City,"266,508","1,393",13,81,431,868,"5,074",890,"3,514",670,18
Keansburg,"9,674",21,0,2,6,13,176,18,157,1,0
Kearny,"41,314",54,0,0,13,41,661,36,541,84,0
Kenilworth,"8,218",10,0,4,2,4,109,8,86,15,0
Keyport,"7,032",12,0,0,4,8,92,10,73,9,0
Kinnelon,"9,984",1,0,1,0,0,22,11,9,2,0
Lacey Township,"29,247",25,0,4,4,17,265,29,233,3,1
Lake Como,"1,685",1,0,0,1,0,16,2,11,3,0
Lakehurst,"2,701",5,0,0,2,3,18,0,16,2,0
Lakewood Township,"105,403",148,1,11,45,91,965,253,675,37,4
Lambertville,"3,782",1,0,1,0,0,26,2,24,0,0
Laurel Springs,"1,860",2,0,0,1,1,19,6,12,1,0
Lavallette,"1,846",0,0,0,0,0,39,2,34,3,0
Lawnside,"2,874",6,0,0,0,6,104,10,92,2,0
"Lawrence Township, Mercer County","32,415",45,0,10,11,24,493,83,388,22,2
Lebanon Township,"6,061",2,0,0,0,2,17,3,12,2,0
Leonia,"9,088",3,0,1,0,2,51,11,38,2,0
Lincoln Park,"10,162",2,0,0,0,2,46,8,32,6,0
Linden,"42,592",159,0,21,44,94,"1,228",110,"1,079",39,4
Lindenwold,"17,197",123,0,16,50,57,492,124,334,34,3
Linwood,"6,697",2,0,0,0,2,92,10,78,4,0
Little Egg Harbor Township,"21,508",18,0,2,3,13,206,36,164,6,1
Little Falls Township,"14,513",20,0,0,0,20,89,12,70,7,0
Little Ferry,"10,794",9,1,0,2,6,83,12,55,16,0
Little Silver,"5,793",2,0,0,0,2,34,1,25,8,0
Livingston Township,"29,998",6,0,3,1,2,353,26,301,26,0
Loch Arbour,179,0,0,0,0,0,14,1,13,0,0
Lodi,"24,488",35,0,2,6,27,273,31,200,42,1
Logan Township,"5,854",5,0,1,2,2,105,13,85,7,0
Long Beach Township,"3,060",10,0,5,0,5,78,6,70,2,0
Long Branch,"30,352",109,0,11,23,75,625,60,538,27,0
Long Hill Township,"8,500",3,0,1,0,2,45,3,40,2,0
Longport,854,1,0,0,0,1,10,3,7,0,0
Lopatcong Township,"8,350",4,0,0,0,4,99,5,90,4,0
Lower Alloways Creek Township,"1,663",1,0,0,0,1,3,0,3,0,0
Lower Township,"21,325",41,0,10,2,29,149,30,113,6,0
Lumberton Township,"12,162",22,0,2,4,16,174,11,153,10,0
Lyndhurst Township,"22,741",13,0,0,6,7,150,5,127,18,0
Madison,"16,533",1,0,0,0,1,70,11,52,7,0
Magnolia,"4,247",13,0,0,5,8,76,26,46,4,0
Mahwah Township,"26,317",8,0,3,0,5,115,10,90,15,1
Manalapan Township,"39,662",18,1,11,2,4,226,36,173,17,0
Manasquan,"5,839",7,0,3,0,4,88,3,82,3,0
Manchester Township,"43,369",12,3,0,3,6,278,51,215,12,2
"Mansfield Township, Burlington County","8,520",8,0,0,3,5,46,10,26,10,0
"Mansfield Township, Warren County","7,347",3,0,1,0,2,83,5,76,2,0
Mantoloking,252,0,0,0,0,0,5,0,3,2,0
Mantua Township,"14,779",3,0,0,0,3,212,30,169,13,2
Manville,"10,205",6,0,4,1,1,218,14,197,7,0
Maple Shade Township,"18,451",54,1,8,17,28,344,41,272,31,0
Maplewood Township,"25,297",22,2,3,13,4,435,22,365,48,0
Margate City,"5,912",6,0,0,2,4,140,55,84,1,1
Marlboro Township,"39,850",9,0,0,2,7,273,38,212,23,1
Matawan,"8,716",0,0,0,0,0,5,0,5,0,0
Maywood,"9,667",6,0,0,2,4,62,7,54,1,0
Medford Lakes,"3,922",3,0,0,0,3,16,4,12,0,0
Medford Township,"23,393",19,0,4,1,14,134,30,101,3,1
Mendham,"4,876",0,0,0,0,0,20,1,14,5,0
Mendham Township,"5,700",1,0,0,0,1,11,3,6,2,0
Merchantville,"3,687",4,0,0,0,4,59,9,48,2,0
Metuchen,"14,423",11,0,0,4,7,165,31,124,10,0
Middlesex Borough,"13,659",6,0,0,2,4,55,4,47,4,1
Middle Township,"18,225",34,0,6,7,21,303,54,232,17,2
Middletown Township,"65,361",22,0,4,2,16,354,38,294,22,0
Midland Park,"7,246",2,0,0,0,2,38,0,34,4,0
Millburn Township,"20,085",6,0,0,5,1,434,23,374,37,0
Milltown,"7,020",2,0,0,2,0,84,2,80,2,0
Millville,"27,528",130,2,14,50,64,"1,107",154,925,28,6
Mine Hill Township,"3,501",2,0,0,1,1,12,3,8,1,0
Monmouth Beach,"3,222",2,0,0,0,2,8,0,8,0,0
"Monroe Township, Gloucester County","36,884",26,1,1,12,12,425,88,313,24,1
"Monroe Township, Middlesex County","45,342",19,0,0,0,19,116,18,89,9,0
Montclair,"38,625",58,1,9,17,31,476,106,335,35,1
Montgomery Township,"23,364",5,0,0,0,5,111,62,39,10,0
Montvale,"8,657",1,0,0,0,1,26,1,24,1,0
Montville Township,"21,208",4,0,0,0,4,172,11,137,24,0
Moonachie,"2,736",0,0,0,0,0,28,1,26,1,1
Moorestown Township,"20,307",18,0,3,4,11,200,24,166,10,0
Morris Plains,"5,935",2,0,0,0,2,71,3,65,3,0
Morristown,"19,153",41,0,5,9,27,170,9,157,4,2
Morris Township,"22,080",8,0,0,0,8,96,22,70,4,0
Mountain Lakes,"4,269",0,0,0,0,0,28,10,11,7,0
Mountainside,"6,888",3,0,0,0,3,52,9,36,7,1
Mount Arlington,"5,964",0,0,0,0,0,27,3,23,1,0
Mount Ephraim,"4,567",5,0,0,1,4,179,7,169,3,0
Mount Holly Township,"9,568",27,0,8,7,12,190,20,163,7,0
Mount Laurel Township,"41,109",57,1,15,17,24,597,45,524,28,0
Mount Olive Township,"29,025",14,0,5,3,6,112,19,92,1,0
Mullica Township,"5,897",2,0,0,1,1,71,22,43,6,0
National Park,"2,934",3,1,0,0,2,23,8,15,0,0
Neptune City,"4,625",11,0,0,2,9,118,6,112,0,0
Neptune Township,"27,549",95,2,2,18,73,871,72,786,13,4
Netcong,"3,151",11,0,5,0,6,28,2,25,1,0
Newark,"281,422","1,742",57,120,636,929,"4,618",721,"2,356","1,541",21
New Brunswick,"55,995",262,3,11,96,152,"1,111",223,823,65,0
Newfield,"1,537",2,0,0,0,2,8,2,5,1,0
New Hanover Township,"8,123",1,0,0,0,1,0,0,0,0,0
New Milford,"16,506",1,0,0,0,1,64,8,53,3,0
New Providence,"13,592",0,0,0,0,0,35,5,29,1,0
Newton,"7,916",14,0,4,0,10,63,8,55,0,0
North Arlington,"15,710",19,0,0,6,13,158,9,132,17,0
North Bergen Township,"61,447",90,1,16,17,56,404,54,306,44,1
North Brunswick Township,"41,706",61,0,4,17,40,605,52,517,36,0
North Caldwell,"6,645",5,0,1,0,4,22,10,8,4,0
Northfield,"8,163",4,0,0,0,4,86,13,66,7,0
North Haledon,"8,379",3,0,1,0,2,49,5,39,5,0
North Hanover Township,"7,476",3,0,0,0,3,18,3,13,2,0
North Plainfield,"21,474",47,1,10,26,10,281,36,234,11,0
Northvale,"4,937",0,0,0,0,0,9,0,8,1,0
North Wildwood,"3,763",6,0,1,1,4,144,12,131,1,0
Norwood,"5,816",1,0,1,0,0,19,6,10,3,0
Nutley Township,"28,384",28,0,0,6,22,164,26,117,21,0
Oakland,"12,992",5,0,0,1,4,53,5,46,2,0
Oaklyn,"3,936",5,0,1,1,3,127,39,83,5,0
Ocean City,"10,962",6,0,0,2,4,323,37,285,1,0
Ocean Gate,"2,025",1,0,0,1,0,24,7,17,0,0
Oceanport,"5,739",12,0,2,2,8,43,8,33,2,0
"Ocean Township, Monmouth County","26,638",17,1,0,4,12,582,60,499,23,1
"Ocean Township, Ocean County","9,134",4,0,1,0,3,38,6,32,0,0
Ogdensburg,"2,247",0,0,0,0,0,10,0,9,1,0
Old Bridge Township,"65,659",39,2,1,12,24,477,60,378,39,1
Old Tappan,"5,944",0,0,0,0,0,12,2,6,4,0
Oradell,"8,181",2,0,0,0,2,21,7,13,1,0
Orange City,"30,558",190,4,13,96,77,635,140,337,158,10
Oxford Township,"2,423",1,0,0,0,1,6,2,4,0,0
Palisades Park,"20,877",16,0,1,4,11,106,19,81,6,0
Palmyra,"7,134",8,1,1,0,6,120,17,100,3,2
Paramus,"26,460",44,0,2,8,34,919,24,871,24,0
Park Ridge,"8,761",1,0,0,1,0,9,2,6,1,0
Parsippany-Troy Hills Township,"51,907",23,1,9,3,10,326,59,233,34,0
Passaic,"69,639",369,1,6,166,196,"1,215",133,923,159,2
Paterson,"144,866","1,219",19,54,464,682,"3,132",847,"1,829",456,24
Paulsboro,"5,828",14,0,0,5,9,114,23,79,12,0
Peapack-Gladstone,"2,591",0,0,0,0,0,18,8,5,5,0
Pemberton Borough,"1,321",3,0,0,2,1,28,9,19,0,0
Pemberton Township,"26,966",72,1,2,11,58,435,114,299,22,6
Pennington,"2,516",0,0,0,0,0,8,1,5,2,0
Pennsauken Township,"35,506",111,1,2,41,67,848,197,578,73,1
Penns Grove,"4,746",51,1,8,14,28,154,31,110,13,2
Pennsville Township,"12,345",18,0,0,3,15,198,19,171,8,0
Pequannock Township,"15,045",7,0,0,3,4,73,13,60,0,0
Perth Amboy,"51,816",147,0,2,30,115,697,110,511,76,2
Phillipsburg,"14,228",30,0,14,5,11,304,37,254,13,3
Pine Beach,"2,173",1,0,0,0,1,23,3,20,0,0
Pine Hill,"10,419",30,0,1,4,25,143,29,110,4,0
Pine Valley,12,0,0,0,0,0,0,0,0,0,0
Piscataway Township,"56,783",47,0,7,5,35,443,45,376,22,0
Pitman,"8,709",4,0,0,2,2,55,12,42,1,0
Plainfield,"50,576",192,3,2,90,97,805,140,607,58,10
Plainsboro Township,"22,976",9,1,0,0,8,151,12,135,4,0
Pleasantville,"20,388",65,1,4,26,34,271,90,156,25,0
Plumsted Township,"8,545",5,0,1,0,4,32,12,19,1,0
Pohatcong Township,"3,181",0,0,0,0,0,230,21,208,1,0
Point Pleasant,"18,684",15,0,0,0,15,116,24,87,5,0
Point Pleasant Beach,"4,516",5,0,0,1,4,54,20,24,10,0
Pompton Lakes,"10,953",8,0,1,0,7,58,5,51,2,0
Princeton,"31,610",10,0,1,0,9,238,45,190,3,4
Prospect Park,"5,831",5,0,2,1,2,83,12,62,9,0
Rahway,"30,072",32,1,1,10,20,157,25,103,29,0
Ramsey,"14,978",3,0,0,2,1,161,3,155,3,0
Randolph Township,"25,490",8,0,1,1,6,99,10,81,8,0
Raritan,"7,999",6,0,3,1,2,61,11,45,5,0
Raritan Township,"22,220",8,0,0,1,7,64,7,55,2,0
Readington Township,"15,805",11,0,1,0,10,61,15,40,6,1
Red Bank,"12,016",13,0,4,4,5,126,14,108,4,0
Ridgefield,"11,240",6,0,0,0,6,49,3,38,8,0
Ridgefield Park,"12,983",7,0,0,2,5,124,6,108,10,1
Ridgewood,"25,192",13,0,0,2,11,143,22,108,13,0
Ringwood,"12,165",5,0,1,0,4,42,6,34,2,0
Riverdale,"4,255",2,0,0,0,2,96,9,83,4,1
River Edge,"11,500",2,0,1,1,0,72,7,62,3,0
Riverside Township,"7,806",14,0,1,1,12,36,4,31,1,0
Riverton,"2,675",0,0,0,0,0,25,2,23,0,0
River Vale Township,"10,063",0,0,0,0,0,20,1,18,1,0
Robbinsville Township,"14,635",2,0,2,0,0,51,6,43,2,0
Rochelle Park Township,"5,598",4,0,0,3,1,66,11,53,2,0
Rockaway,"6,325",1,0,0,1,0,53,13,37,3,0
Rockaway Township,"25,756",13,0,0,2,11,231,20,203,8,1
Rockleigh,531,0,0,0,0,0,2,0,2,0,0
Roseland,"5,826",2,0,0,0,2,34,0,26,8,0
Roselle,"21,903",67,1,1,16,49,339,51,255,33,2
Roselle Park,"13,630",2,0,2,0,0,135,11,115,9,0
Roxbury Township,"22,755",3,0,0,2,1,101,13,88,0,0
Rumson,"6,740",0,0,0,0,0,57,7,36,14,0
Runnemede,"8,262",7,0,0,0,7,144,24,112,8,0
Rutherford,"18,423",12,0,2,2,8,181,20,145,16,0
Saddle Brook Township,"13,897",1,0,0,1,0,220,5,214,1,0
Saddle River,"3,186",2,0,0,0,2,30,5,22,3,0
Salem,"4,702",73,2,3,19,49,227,77,124,26,12
Sayreville,"44,581",34,0,0,8,26,310,42,231,37,0
Scotch Plains Township,"24,383",14,0,2,3,9,162,50,105,7,0
Sea Bright,"1,352",2,0,1,0,1,11,2,9,0,0
Sea Girt,"1,764",1,0,0,0,1,12,1,11,0,0
Sea Isle City,"2,035",0,0,0,0,0,89,16,73,0,0
Seaside Heights,"2,902",12,0,0,1,11,166,21,141,4,0
Seaside Park,"1,538",3,0,0,1,2,20,6,14,0,0
Secaucus,"21,217",41,0,3,11,27,516,31,466,19,1
Ship Bottom,"1,144",0,0,0,0,0,18,0,18,0,0
Shrewsbury,"4,122",6,0,0,1,5,88,4,79,5,0
Somerdale,"5,492",12,0,0,2,10,263,23,236,4,2
Somers Point,"10,224",11,0,2,2,7,260,22,229,9,0
Somerville,"12,198",11,0,0,8,3,138,11,117,10,0
South Amboy,"8,922",2,0,0,0,2,67,10,46,11,0
South Bound Brook,"4,570",1,0,0,1,0,43,6,36,1,0
South Brunswick Township,"46,038",17,0,4,5,8,254,36,204,14,3
South Hackensack Township,"2,465",13,1,0,3,9,43,5,31,7,0
South Harrison Township,"3,122",1,0,0,0,1,13,1,11,1,0
South Orange Village,"16,740",13,0,0,9,4,279,21,233,25,0
South Plainfield,"24,114",30,0,0,8,22,394,34,343,17,1
South River,"15,945",35,0,7,6,22,102,13,80,9,0
South Toms River,"3,780",7,0,0,2,5,32,6,24,2,0
Sparta Township,"18,532",4,0,0,0,4,31,2,27,2,0
Spotswood,"8,276",2,0,0,1,1,52,8,43,1,0
"Springfield Township, Burlington County","3,252",2,0,0,0,2,18,1,15,2,0
"Springfield Township, Union County","17,661",3,0,0,2,1,134,19,105,10,0
Spring Lake,"2,917",0,0,0,0,0,34,4,29,1,0
Spring Lake Heights,"4,538",1,0,0,0,1,13,2,10,1,0
Stafford Township,"27,609",32,0,4,1,27,232,19,205,8,1
Stanhope,"3,281",1,0,1,0,0,27,7,18,2,0
Stone Harbor,804,2,0,0,0,2,106,14,91,1,1
Stratford,"6,926",10,0,1,6,3,60,8,51,1,0
Summit,"21,980",3,0,1,2,0,136,9,118,9,0
Surf City,"1,193",2,0,2,0,0,8,3,5,0,0
Swedesboro,"2,565",0,0,0,0,0,36,4,31,1,0
